index,location,description,secs,category,CDNumber,CDName,tracknum,isCrowd,bitRate,isStereo,duration
198,07018036.wav,Six women booing. (Farcical.),9,,EC73K,Crowd Reaction (Farcical),6,1,44100,2,7.44
199,07018037.wav,"Victorian party chatter, 24 men & women. (Farcical.) ",94,,EC73K,Crowd Reaction (Farcical),7,1,44100,2,91.5959410430839
200,07018038.wav,"Spirited party chatter, 30 men & women. (Farcical.)",92,,EC73K,Crowd Reaction (Farcical),8,1,44100,2,89.92351473922902
201,07018039.wav,"Closing time in public house, twelve youths, laughter with some distinct speech. (Farcical.)",77,,EC73K,Crowd Reaction (Farcical),9,1,44100,2,75.64092970521541
202,07018040.wav,"Party chatter, fifteen gushing women. (Farcical.)",94,,EC73K,Crowd Reaction (Farcical),10,1,44100,2,91.45603174603174
205,07018048.wav,"Jeering & booing, 50 people, 20-30 years old. (Interior.)",44,,EC73N,Crowd Reaction & Chatter,3,1,44100,2,41.780680272108846
206,07018049.wav,"Cheering, 50 people, 20-30 years old. (Interior.)",16,,EC73N,Crowd Reaction & Chatter,4,1,44100,2,13.968979591836735
207,07018050.wav,"'Hip hip hooray', 50 people, 20-30 years old. (Interior.)",9,,EC73N,Crowd Reaction & Chatter,5,1,44100,2,7.6
208,07018051.wav,"Applause, 50 people, 20-30 years old. (Interior.)",12,,EC73N,Crowd Reaction & Chatter,6,1,44100,2,9.64
209,07018052.wav,"Applause, 50 people, 20-30 years old. (Interior.)",15,,EC73N,Crowd Reaction & Chatter,7,1,44100,2,13.16
210,07018053.wav,"Slow hand-clap into fast rhythm, 20-30 year olds. (Interior.)",19,,EC73N,Crowd Reaction & Chatter,8,1,44100,2,17.32
211,07018054.wav,"Hearty laughter, 20-30 years old. (Interior.)",14,,EC73N,Crowd Reaction & Chatter,9,1,44100,2,12.028299319727891
212,07018055.wav,"Hearty laughter, 20-30 years old. (Interior.)",10,,EC73N,Crowd Reaction & Chatter,10,1,44100,2,8.0
213,07018056.wav,Six bursts of laughter from group of 20-30 year-olds. (4 seconds between each burst),84,,EC73N,Crowd Reaction & Chatter,11,1,44100,2,81.81151927437642
214,07018057.wav,"People dispersing after a meeting, some distant speech, 20-30 years old. (Interior.)",206,,EC73N,Crowd Reaction & Chatter,12,1,44100,2,203.68843537414966
215,07019041.wav,"Sheffield Tram No. 189, interior, run in crowded upper saloon.",169,,EC4B5,Trams: Sheffield Tram No. 189,7,1,44100,2,167.72
216,07019043.wav,"Sheffield Tram No. 189, run in crowded lower saloon.",128,,EC4B5,Trams: Sheffield Tram No. 189,9,1,44100,2,126.71210884353742
217,07019097.wav,"Earls Court Boat Show 1966, atmosphere in entrance hall.",183,,EC70B,Exhibition Crowds,1,1,44100,2,181.29455782312925
218,07019098.wav,"Earls Court Boat Show 1966, atmosphere as people enter hall through turnstiles.",184,,EC70B,Exhibition Crowds,2,1,44100,2,182.49666666666667
219,07019099.wav,"Earls Court Motor Show 1955, general crowd atmosphere.",184,,EC70B,Exhibition Crowds,3,1,44100,2,182.4
220,07019100.wav,"Farnborough Air Show 1961, crowd atmosphere in a large marquee.",184,,EC70B,Exhibition Crowds,4,1,44100,2,181.90918367346939
221,07019115.wav,"Rockets, with crowd reaction. (Fireworks.)",29,,EC75A,Fireworks,10,1,44100,2,27.04
222,07019149.wav,"Battle Ccrowd, with men shouting. (No gunfire.)",432,,EC82B,Battle Crowd,1,1,44100,2,430.11471655328796
223,07019150.wav,"Battle Crowd, with men taunting & jeering.",405,,EC82B,Battle Crowd,2,1,44100,2,403.95167800453515
224,07019154.wav,"Battle Crowd, murmuring crowd of men with occasional clink of swords. (Suggested use, period battle)",299,,EC82D,Large Outdoor Crowd: Men,1,1,44100,2,296.5748752834467
225,07019155.wav,"Battle Crowd, mixed angry crowd, shouting rises to crescendo and dies down. (Suitable background to a period battle)",19,,EC82D,Large Outdoor Crowd: Men,2,1,44100,2,17.32
226,07019156.wav,"Battle Crowd, mixed angry crowd shouting rises to crescendo and dies down. (Suitable background to a period battle)",32,,EC82D,Large Outdoor Crowd: Men,3,1,44100,2,30.36
227,07019157.wav,"Battle Crowd, men shouting angrily. (Suggested use, period battle)",426,,EC82D,Large Outdoor Crowd: Men,4,1,44100,2,424.8819954648526
228,07021044.wav,"Game of Snooker, small crowd chatters during game.",419,,EC67A,Billiards Saloon,1,1,44100,2,416.0885714285714
229,07021051.wav,"Table Tennis, singles match. (No crowd.)",184,,EC67E,Badminton (No Crowd),1,1,44100,2,182.4984126984127
230,07021052.wav,"Table Tennis, doubles match. (No crowd.)",189,,EC67E,Badminton (No Crowd),2,1,44100,2,186.85219954648525
231,07021053.wav,"Badminton, singles match. (No crowd)",134,,EC67E,Badminton (No Crowd),3,1,44100,2,132.18428571428572
232,07021054.wav,"Badminton, doubles match. (No crowd)",243,,EC67E,Badminton (No Crowd),4,1,44100,2,240.83827664399092
233,07021114.wav,"Indoor Swimming Pool, general atmosphere, uncrowded with  dives & splashes.",453,,EC64E,Indoor Swimming Bath,1,1,44100,2,450.223514739229
234,07022456.wav,"Fairgrounds: Crowd atmosphere, indistinct band in background",362,Fairgrounds: Crowd atmosphere,EC5F3,Fairgrounds,1,1,44100,2,360.8724489795918
235,07024033.wav,"London Underground: Victoria Line, Interior, descent from ticket hall to trains, crowds and indistinct speech.",83,Trains: London Underground: Victoria Line,EC4T4,London Underground: Victoria Line,1,1,44100,2,80.9055328798186
236,07024034.wav,"London Underground: Victoria Line, train enters station, doors open, crowds and indistinct speech.",36,Trains: London Underground: Victoria Line,EC4T4,London Underground: Victoria Line,2,1,44100,2,34.46185941043084
237,07024035.wav,"London Underground: Victoria Line, train boarded, doors open, passengers alight, crowds and indistinct speech.",254,Trains: London Underground: Victoria Line,EC4T4,London Underground: Victoria Line,3,1,44100,2,251.52848072562358
238,07024036.wav,"London Underground: Victoria Line, train at platform, departs, crowds and indistinct speech.",51,Trains: London Underground: Victoria Line,EC4T4,London Underground: Victoria Line,4,1,44100,2,49.26925170068027
239,07024073.wav,"Steam Train: 2-6-2 tank locomotive, post 1945, suburban, exterior, start, depart from crowded station. ",56,Trains: Steam,EC3T3,"Suburban Steam Train: Exterior (2-6-2 Tank Locomotive, Past 1945)",6,1,44100,2,54.58004535147392
240,07026095.wav,"France: Tour De France, actuality, winners presentation, general atmosphere of crowd.",134,"France: Tour De France, actuality, winners presentation, general",EC6F5,France: Tour De France,6,1,44100,2,132.2135827664399
241,07027139.wav,"Tea Tent: Busy, mixed crowd.",372,"Tea Tent: Busy, mixed crowd",EC1R7,Tea Tent,1,1,44100,2,370.0768027210884
242,07028002.wav,"Sport: Association Football league match, Derby v. Arsenal, crowd singing 'we shall not be moved'.",140,Sports: Football: Association,EC2S1,Association Football - League Match,2,1,44100,2,138.69825396825397
243,07028005.wav,"Sport: Association football, Derby v. Arsenal, crowd reaction of oohs, aahs, applause.",36,Sports: Football: Association,EC2S2,Association Football - League Match,2,1,44100,2,34.24147392290249
244,07028006.wav,"Sport: Association football, Derby v. Arsenal, crowd reaction of oohs and aahs.",46,Sports: Football: Association,EC2S2,Association Football - League Match,3,1,44100,2,44.32605442176871
245,07028007.wav,"Sport: Association football, Derby v. Arsenal, crowd cheers.",36,Sports: Football: Association,EC2S2,Association Football - League Match,4,1,44100,2,34.3762358276644
246,07028010.wav,"Sport: Association rugby, Middlesex v. Gloucester, crowd entering ground. ",189,Sports: Rugby: Association,EC2S2,Association Football - League Match,7,1,44100,2,187.11292517006802
247,07028015.wav,"Swimming Pool: Crystal Palace, men's 1500m free-style race, public address at start, crowd reaction.",398,"Swimming Pools: Crystal Palace, men's 1500m free-style race, pub",EC2S5,Swimming Match At Crystal Palace (Indoors-With Crowd Reaction),1,1,44100,2,396.16580498866216
248,07028016.wav,"Swimming Pool: Crystal Palace, men's 1500m free-style race end, crowd reaction. ",86,"Swimming Pools: Crystal Palace, men's 1500m free-style race end,",EC2S5,Swimming Match At Crystal Palace (Indoors-With Crowd Reaction),2,1,44100,2,84.72875283446712
249,07028017.wav,"Swimming Pool: Crystal Palace, start and finish of men's 200m free-style race, crowd reaction. ",139,"Swimming Pools: Crystal Palace, start and finish of men's 200m f",EC2S5,Swimming Match At Crystal Palace (Indoors-With Crowd Reaction),3,1,44100,2,137.16503401360544
250,07028018.wav,"Swimming Pool: Crystal Palace, start and finish of men's 200m butterfly race, crowd reaction. ",153,"Swimming Pools: Crystal Palace, start and finish of men's 200m b",EC2S5,Swimming Match At Crystal Palace (Indoors-With Crowd Reaction),4,1,44100,2,151.35233560090703
251,07028019.wav,"Basket Ball: Match, Crowd cheering, whistle",341,Sports: Basketball: Match,EC2S6,Basket Ball - Crystal Palace (Ursiline V Sutton),1,1,44100,2,338.4510657596372
252,07028021.wav,"Sports Crowd: Large restless crowd builds up, outdoor sports meeting",366,Sports Crowd: Large restless crowd builds up,EC2S7,Sports Crowd: Outdoor,1,1,44100,2,364.97333333333336
253,07028022.wav,"Sports Crowd: Large crowd passing through turnstiles, outdoor sports meeting",363,Sports Crowd: Large crowd passing through turnstiles,EC2S7,Sports Crowd: Outdoor,2,1,44100,2,361.4338321995465
254,07028038.wav,"Association Football: Mild ooh from crowd, (Arsenal v. Wolves)",21,Sports: Football: Association,EC2S10,Association Football,6,1,44100,2,19.488253968253968
255,07028039.wav,"Association Football: Large ooh and applause from crowd, (Arsenal v. Wolves)",18,Sports: Football: Association,EC2S10,Association Football,7,1,44100,2,16.68795918367347
256,07028040.wav,"Association Football: Large ooh and applause from crowd, (Arsenal v. Wolves)",23,Sports: Football: Association,EC2S10,Association Football,8,1,44100,2,21.21668934240363
257,07028041.wav,"Association Football: Goal scored, applause and cheering from crowd, (Arsenal v. Wolves)",48,Sports: Football: Association,EC2S10,Association Football,9,1,44100,2,46.36798185941043
258,07028044.wav,"Association Football: Goal scored, (Arsenal v. Wolves)",27,Sports: Football: Association,EC2S11,Association Football Match: Crowd Reactions,1,1,44100,2,25.8275283446712
259,07028045.wav,"Association Football: Booing as player is sent off, (Arsenal v. Wolves)",39,Sports: Football: Association,EC2S11,Association Football Match: Crowd Reactions,2,1,44100,2,37.90698412698413
260,07028046.wav,"Association Football: Players leave pitch and enter tunnel, (Arsenal v. Wolves)",47,Sports: Football: Association,EC2S11,Association Football Match: Crowd Reactions,3,1,44100,2,45.10018140589569
261,07028047.wav,"Association Football: Crowd leaving ground, close perspective, Arsenal v. Wolves game.",154,Sports: Football: Association,EC2S11,Association Football Match: Crowd Reactions,4,1,44100,2,152.2724716553288
262,07028048.wav,"Association Football: Atmosphere during match, from trainer's bench, occasional close speech, (Arsenal v. Wolves)",395,Sports: Football: Association,EC2S11,Association Football Match: Crowd Reactions,5,1,44100,2,392.9973696145125
263,07028062.wav,"Cricket Match: Village Green, small crowd near pavilion. (Technical note, for use at low level)",215,Sports: Cricket: Match,EC2S13,Village Green Cricket Match (Rec. May With Birdsong On Each Band),2,1,44100,2,213.21979591836734
264,07028072.wav,"Football, Local: Crowd of 300, recorded from stand.",410,"Crowds: Football: Crowd of 300, recorded from stand",EC2S15,Local Football Match (Crowd Of 300),1,1,44100,2,408.5599092970522
265,07028073.wav,"Football, Local: Crowd of 300, cheers and boos as teams come out.",30,"Crowds: Football: Crowd of 300, cheers and boos as teams come ou",EC2S15,Local Football Match (Crowd Of 300),2,1,44100,2,28.714058956916098
266,07028074.wav,"Football, Local: Crowd of 300, referee's whistle.",22,"Crowds: Football: Crowd of 300, referee's whistle",EC2S15,Local Football Match (Crowd Of 300),3,1,44100,2,20.199909297052155
267,07028075.wav,"Football, Local: Crowd of 300, goal scored by home team.",23,"Crowds: Football: Crowd of 300, goal scored by home team",EC2S15,Local Football Match (Crowd Of 300),4,1,44100,2,21.42800453514739
268,07028076.wav,"Football, Local: Crowd of 300, goal scored by away team.",23,"Crowds: Football: Crowd of 300, goal scored by away team",EC2S15,Local Football Match (Crowd Of 300),5,1,44100,2,21.315691609977325
269,07028077.wav,"Football, Local: Crowd of 300, growing excitement, chant of ""Come on you reds""",22,Crowds: Football,EC2S15,Local Football Match (Crowd Of 300),6,1,44100,2,20.869591836734696
270,07028078.wav,"Football, Local: Crowd of 300, near miss.",16,"Crowds: Football: Crowd of 300, near miss",EC2S15,Local Football Match (Crowd Of 300),7,1,44100,2,14.511020408163265
271,07029146.wav,"Beach: Crowded, Children playing, seawash and occasional dog bark",396,Beach: Crowded,EC1S7,Crowded Beach,1,1,44100,2,392.5252607709751
272,07029147.wav,"Beach: Children paddling and shouting at water's edge, seawash",394,Beach: Children paddling and shouting at water's edge,EC1S7,Crowded Beach,2,1,44100,2,392.213514739229
273,07031028.wav,"Crowds: Exterior, Paternoster Square, London, footsteps and chatter.",227,"Crowds: Exterior, Paternoster Square, London, footsteps and chat",EC2C1,Outdoor Crowds,1,1,44100,2,224.85192743764173
274,07031029.wav,"Crowds: Exterior, Berwick Street Market, London, footsteps and chatter.",270,"Crowds: Exterior, Berwick Street Market, London, footsteps and c",EC2C1,Outdoor Crowds,2,1,44100,2,268.5094784580499
275,07031030.wav,"Crowds: Exterior, Angry jeering crowd.",239,"Crowds: Exterior, Angry jeering crowd",EC2C1,Outdoor Crowds,3,1,44100,2,237.45843537414967
276,07031031.wav,"Crowds: Exterior, shouting, screaming and laughing.",139,"Crowds: Exterior, shouting, screaming and laughing",EC2C1,Outdoor Crowds,4,1,44100,2,137.26049886621314
277,07031032.wav,"Crowds: Exterior, Aylesbury Market, speech, traffic, footsteps, ventilator hum.",452,"Crowds: Exterior, Aylesbury Market, speech, traffic, footsteps, ",EC2C2,Aylesbury Market,1,1,44100,2,450.65092970521545
278,07031033.wav,"Crowds: Exterior, Berwick Street Market, speech, coins, footsteps. (Recorded walking along).",379,"Crowds: Exterior, Berwick Street Market, speech, coins, footstep",EC2C2,Aylesbury Market,2,1,44100,2,377.28616780045354
279,07031034.wav,"Crowd: London Zoo, Outdoor, general, children. (No animal sounds).",365,"Crowds: London Zoo, Outdoor, general, children",EC2C3,Crowds: Outdoor,1,1,44100,2,363.33151927437643
280,07031035.wav,"Crowd: London Zoo, Sealions at feeding time, barks, splashes, children.",375,Crowds: London Zoo,EC2C3,Crowds: Outdoor,2,1,44100,2,373.8411111111111
281,07031036.wav,"Crowd: Background, expectant, with birdsong, occasional footsteps and speech.",408,"Crowds: Background, expectant, with birdsong, occasional footste",EC2C4,Expectant Crowd Background,1,1,44100,2,406.6933333333333
282,07031037.wav,"Crowd: Large, expectant, with birdsong. (Wide perspective recording)",377,"Crowds: Large, expectant, with birdsong",EC2C4,Expectant Crowd Background,2,1,44100,2,375.0642857142857
283,07031039.wav,"Crowd: Italy, Street Atmosphere, children and footsteps, no traffic. (Some distinct speech)",184,"Crowds: Italy, Street Atmosphere, children and footsteps, no tra",EC2C5,Italian Market,2,1,44100,2,182.18165532879817
284,07031040.wav,"Crowd: Italy, Large Square, chatter and footsteps, no traffic. (Some distinct speech)",186,"Crowds: Italy, Large Square, chatter and footsteps, no traffic",EC2C5,Italian Market,3,1,44100,2,184.0407709750567
285,07031043.wav,"Outdoor Crowd: Henley Regatta, close perspective recording (Occasional indistinct p.a. and boats).",306,"Outdoor Crowd: Henley Regatta, close perspective recording (Occa",EC2C7,Outdoor Crowds: Henley Regatta,1,1,44100,2,304.3045124716553
286,07031044.wav,"Outdoor Crowd: Henley Regatta, applause, atmosphere.",30,"Outdoor Crowd: Henley Regatta, applause, atmosphere",EC2C7,Outdoor Crowds: Henley Regatta,2,1,44100,2,28.77485260770975
287,07031045.wav,"Outdoor Crowd: Fete, children and adults, distant birdsong.",366,"Outdoor Crowd: Fete, children and adults, distant birdsong",EC2C7,Outdoor Crowds: Henley Regatta,3,1,44100,2,364.0518140589569
288,07031046.wav,"Crowds: Outside Buckingham Palace, Cheer, Applause, mid-distant perspective.",22,"Crowds: Outside Buckingham Palace, Cheer, Applause, mid-distant ",EC2C8,"Crowds Outside Buckingham Palace, London (Mid-Distant Perspective)",1,1,44100,2,20.38922902494331
289,07031047.wav,"Crowds: Outside Buckingham Palace, Noisy, footsteps, distant national anthem played and sung.",117,"Crowds: Outside Buckingham Palace, Noisy, footsteps, distant nat",EC2C8,"Crowds Outside Buckingham Palace, London (Mid-Distant Perspective)",2,1,44100,2,115.74224489795918
290,07031048.wav,"Crowds: Outside Buckingham Palace, Subdued, Horseguards pass, mid-distant perspective.",75,"Crowds: Outside Buckingham Palace, Subdued, Horseguards pass, mi",EC2C8,"Crowds Outside Buckingham Palace, London (Mid-Distant Perspective)",3,1,44100,2,73.16804988662132
291,07031049.wav,"Crowds: Outside Buckingham Palace, large subdued crowd.",181,"Crowds: Outside Buckingham Palace, large subdued crowd",EC2C8,"Crowds Outside Buckingham Palace, London (Mid-Distant Perspective)",4,1,44100,2,179.3791609977324
292,07031050.wav,"Crowds: Outside Buckingham Palace, subdued crowd, close perspective recording.",214,"Crowds: Outside Buckingham Palace, subdued crowd, close perspect",EC2C8,"Crowds Outside Buckingham Palace, London (Mid-Distant Perspective)",5,1,44100,2,212.38489795918366
293,07031051.wav,"Crowds: Outside Buckingham Palace, Cheers.",12,"Crowds: Outside Buckingham Palace, Cheers",EC2C8,"Crowds Outside Buckingham Palace, London (Mid-Distant Perspective)",6,1,44100,2,10.26875283446712
294,07031052.wav,"Crowds: Outside Buckingham Palace, Cheers, Applause.",80,"Crowds: Outside Buckingham Palace, Cheers, Applause",EC2C8,"Crowds Outside Buckingham Palace, London (Mid-Distant Perspective)",7,1,44100,2,78.28371882086168
295,07031053.wav,"Crowds: Outside Buckingham Palace, Chant of 'We Want The Queen'.",22,"Crowds: Outside Buckingham Palace, Chant of 'We Want The Queen'",EC2C8,"Crowds Outside Buckingham Palace, London (Mid-Distant Perspective)",8,1,44100,2,20.948321995464852
296,07031054.wav,"Large Crowd: Outside St. Paul's Cathedral, mid-distant perspective recording, wedding of H.R.H. Prince of Wales. ",395,Large Crowd: Outside St,EC2C9,St. Paul’S Cathedral,1,1,44100,2,393.9128798185941
297,07031055.wav,"Large Crowd: Outside St. Paul's Cathedral, shouts of orders, carriage procession arrives, cheers.",56,Large Crowd: Outside St,EC2C9,St. Paul’S Cathedral,2,1,44100,2,54.87201814058957
298,07031056.wav,"Large Crowd: Outside St. Paul's Cathedral, shouts of orders, carriage procession arrives, cheers.",107,Large Crowd: Outside St,EC2C9,St. Paul’S Cathedral,3,1,44100,2,105.26185941043084
299,07031057.wav,"Large Crowd: Outside St. Paul's Cathedral, cheering and whistling builds up.",66,Large Crowd: Outside St,EC2C9,St. Paul’S Cathedral,4,1,44100,2,64.42321995464853
300,07031058.wav,"Large Crowd: Outside St. Paul's Cathedral, orders shouted, small cheer.",38,Large Crowd: Outside St,EC2C9,St. Paul’S Cathedral,5,1,44100,2,36.73995464852608
301,07031059.wav,"Large Crowd: Outside St. Paul's Cathedral, large cheer.",50,Large Crowd: Outside St,EC2C9,St. Paul’S Cathedral,6,1,44100,2,48.68263038548753
302,07031060.wav,"Large Crowd: Outside St. Paul's Cathedral, large cheer.",31,Large Crowd: Outside St,EC2C9,St. Paul’S Cathedral,7,1,44100,2,29.736507936507937
303,07031061.wav,"Crowd Outdoor: Close, good natured crowd at public demonstration.",396,Crowds: Outdoors,EC2C10,Outdoor Crowds,1,1,44100,2,394.6983219954649
304,07031062.wav,Crowd Outdoor: Large moving crowd with footsteps and voices.,397,Crowds: Outdoors,EC2C10,Outdoor Crowds,2,1,44100,2,395.8441723356009
305,07032179.wav,"Greyhound Racing, hare going round a track. (No dogs or crowd.)",38,,EC172A,Greyhound Racing,3,1,44100,2,35.60702947845805
306,07032182.wav,"Greyhound Racing, crowd and bookies before race.",195,,EC172A,Greyhound Racing,6,1,44100,2,192.85442176870748
307,07032260.wav,"Eiffel Tower Lifts, small crowd waiting for lift.",182,,EC189B,Lifts,1,1,44100,2,180.27451247165533
308,07032270.wav,"Public Demonstration in a London square, surge of angry crowd.",91,,EC188A,Public Demonstration In A London Square,1,1,44100,2,87.3784126984127
309,07032271.wav,"Public Demonstration in a London square, angry crowd background.",298,,EC188A,Public Demonstration In A London Square,2,1,44100,2,296.4996371882086
310,07032272.wav,"Public Demonstration in a London square, subdued crowd after demonstration.",394,,EC188A,Public Demonstration In A London Square,3,1,44100,2,392.2055782312925
311,07034107.wav,"Ship Launch: 3,200 Tons, Sideways, before launch, Yorkshire crowd, close perspective. (Rec. Cochranes Shipyard. Selby July 1985)",202,Boats: Ship Launch,EC3S23,"Ship Launch: 3,200 Tons Sideways Launch",2,1,44100,2,200.98351473922904
312,07034142.wav,Small crowd gasps.,13,,EC169C,Vocal & Heart Effects,7,1,44100,2,11.181360544217688
314,07035067.wav,"100 men, single cheer.",12,,EC94A,Crowds Cheering (Outdoors),2,1,44100,2,9.76
315,07035068.wav,"100 men, prolonged cheer.",15,,EC94A,Crowds Cheering (Outdoors),3,1,44100,2,12.92
316,07035069.wav,"100 men, prolonged cheer.",15,,EC94A,Crowds Cheering (Outdoors),4,1,44100,2,12.828480725623583
317,07035070.wav,"100 men, single cheer.",12,,EC94A,Crowds Cheering (Outdoors),5,1,44100,2,10.623650793650794
318,07035071.wav,"100 men, single cheer.",9,,EC94A,Crowds Cheering (Outdoors),6,1,44100,2,6.914467120181406
319,07035072.wav,"100 men, single cheer.",15,,EC94A,Crowds Cheering (Outdoors),7,1,44100,2,13.06891156462585
320,07035073.wav,Large crowd cheering.,27,,EC94A,Crowds Cheering (Outdoors),8,1,44100,2,24.901587301587302
321,07035074.wav,Large crowd cheering.,38,,EC94A,Crowds Cheering (Outdoors),9,1,44100,2,35.41351473922902
322,07035075.wav,Large crowd cheering continuously.,164,,EC94A,Crowds Cheering (Outdoors),10,1,44100,2,161.68380952380951
323,07035140.wav,"Caracalla, interior, crowds enter forum with programme sellers & speech of foreign tourists.",204,,EC97C,Italy (Caracalla): Indoor Crowds,1,1,44100,2,203.40514739229025
324,07035141.wav,"Caracalla, interior, gong sounds, auditorium atmosphere.",204,,EC97C,Italy (Caracalla): Indoor Crowds,2,1,44100,2,202.94124716553287
325,07035142.wav,"Caracalla, interior, applause & atmosphere at end of act.",111,,EC97C,Italy (Caracalla): Indoor Crowds,3,1,44100,2,109.52634920634921
326,07035143.wav,"Caracalla, interior, applause & atmosphere at end of performance.",119,,EC97C,Italy (Caracalla): Indoor Crowds,4,1,44100,2,117.51621315192743
327,07035144.wav,"Caracalla, interior, crowds leaving after performance.",145,,EC97C,Italy (Caracalla): Indoor Crowds,5,1,44100,2,144.3305215419501
328,07035145.wav,"Italian Crowd, exterior, large & very excited, with cheers, shrieks & whistles.",214,,EC97D,Italy: Outdoor Crowds,1,1,44100,2,212.51807256235827
329,07035146.wav,"Italian Crowd, exterior, very large crowd with cheers at beginning.",169,,EC97D,Italy: Outdoor Crowds,2,1,44100,2,168.17097505668934
330,07035147.wav,"Rome, fairground dodgems.",201,,EC97D,Italy: Outdoor Crowds,3,1,44100,2,200.37687074829932
331,07035148.wav,"Italian crowd, exterior, murmuring crowd.",196,,EC97D,Italy: Outdoor Crowds,4,1,44100,2,193.9861224489796
332,07035150.wav,"Vatican, exterior, crowds disperse at end of Pope's speech with tolling bell, other bells join in.",204,,EC97E,Italy (Rome): Children Playing,2,1,44100,2,202.9673469387755
333,07036065.wav,"French Crowd, subdued crowd of men in hall.",388,,EC95A,French Crowds,1,1,44100,2,385.55487528344673
334,07036066.wav,"French Crowd, animated crowd of men in hall.",459,,EC95A,French Crowds,2,1,44100,2,457.962358276644
335,07036067.wav,"French Café, atmosphere in a busy popular cafe.",413,,EC95B,French Crowds,1,1,44100,2,411.3302494331066
336,07036068.wav,"French Snack Bar, atmosphere in a busy snack bar.",392,,EC95B,French Crowds,2,1,44100,2,390.82049886621314
337,07036071.wav,"French Customs Hall, atmosphere in customs hall at Calais.",394,,EC95D,French Crowds,1,1,44100,2,392.96977324263037
338,07036072.wav,"Prisunic Department Store, general atmosphere.",379,,EC95D,French Crowds,2,1,44100,2,377.752380952381
339,07037241.wav,Medium-sized mixed party crowd with American chatter. (Recorded at a U.S. Air Force base in England.),426,,EC205A,American Chatter,1,1,44100,2,423.6917006802721
340,07037242.wav,Large mixed party crowd with American chatter. (Recorded at a U.S. Air Force base in England.),427,,EC205A,American Chatter,2,1,44100,2,425.8126077097506
341,07037243.wav,Medium-sized mixed crowd in a dining hall with American chatter. (Recorded at a U.S. Air Force base in England.),431,,EC205B,American Chatter,1,1,44100,2,429.5089342403628
342,07037244.wav,Large mixed crowd in a dining hall with American chatter. (Recorded at a U.S. Air Force base in England.),426,,EC205B,American Chatter,2,1,44100,2,424.2928117913832
343,07037250.wav,"Dutch Restaurant, atmosphere in large restaurant.",215,,EC98A,Dutch Crowds,1,1,44100,2,212.0222222222222
344,07037251.wav,"Dutch Public House, atmosphere with jolly crowd.",206,,EC98A,Dutch Crowds,2,1,44100,2,203.47510204081632
345,07037252.wav,"Amsterdam Market, general atmosphere.",209,,EC98A,Dutch Crowds,3,1,44100,2,206.81659863945578
346,07037253.wav,"Dutch Street, children & adults in street.",205,,EC98A,Dutch Crowds,4,1,44100,2,203.13641723356008
347,07038093.wav,NASA Space Shuttle lift off with crowd at launch pad. (Recorded at NASA Space Centre.),85,,EC192K,Space Travel,2,1,44100,2,83.06829931972788
348,07038107.wav,"White City Stadium athletics meeting, applause, crowd murmur & gasp.",37,,EC197C,Athletics,1,1,44100,2,34.754784580498864
349,07038280.wav,"Laughter, medium sized crowd.",34,,EC90A,Laughter,12,1,44100,2,32.645442176870745
350,07039001.wav,"Italian Chatter, small mixed crowd, interior.",99,,EC1006A,Crowds: Chatter Yugoslav,1,1,44100,2,96.97024943310657
351,07039002.wav,"Italian Chatter, large mixed crowd, interior.",107,,EC1006A,Crowds: Chatter Yugoslav,2,1,44100,2,105.67487528344671
352,07039003.wav,"Italian Chatter, excited crowd with shouts, interior.",81,,EC1006A,Crowds: Chatter Yugoslav,3,1,44100,2,79.89242630385488
353,07039004.wav,"English children in street, shouting & running.",21,,EC1006A,Crowds: Chatter Yugoslav,4,1,44100,2,20.00172335600907
354,07039005.wav,"English children in street, arguing.",15,,EC1006A,Crowds: Chatter Yugoslav,5,1,44100,2,14.34249433106576
355,07039006.wav,"English children in street, arguing.",79,,EC1006A,Crowds: Chatter Yugoslav,6,1,44100,2,78.16244897959184
356,07039007.wav,"Yugoslav Chatter, small mixed group, interior.",69,,EC1006A,Crowds: Chatter Yugoslav,7,1,44100,2,68.020589569161
357,07039008.wav,"Yugoslav Chatter, small mixed group, interior.",116,,EC1006A,Crowds: Chatter Yugoslav,8,1,44100,2,114.99573696145124
358,07039009.wav,"Yugoslav Chatter, large mixed group, interior.",187,,EC1006A,Crowds: Chatter Yugoslav,9,1,44100,2,186.2164172335601
359,07039010.wav,"Enthusiastic cheers, applause & shouting, medium-sized group.",19,,EC1006B,Crowds,1,1,44100,2,17.60984126984127
360,07039011.wav,"Applause, small group.",12,,EC1006B,Crowds,2,1,44100,2,11.362902494331065
361,07039012.wav,"Applause, medium-sized group.",14,,EC1006B,Crowds,3,1,44100,2,12.827845804988662
362,07039013.wav,"Applause, large group.",19,,EC1006B,Crowds,4,1,44100,2,18.001269841269842
363,07039014.wav,"Applause, two or three people.",7,,EC1006B,Crowds,5,1,44100,2,6.083492063492064
364,07039015.wav,"Applause, one person.",11,,EC1006B,Crowds,6,1,44100,2,9.600725623582766
365,07039016.wav,"Hysterical Laughter, medium size group.",19,,EC1006B,Crowds,7,1,44100,2,18.352290249433107
366,07039017.wav,"Hysterical Laughter, medium size group.",30,,EC1006B,Crowds,8,1,44100,2,29.45904761904762
367,07039018.wav,"Hysterical Laughter, one man and one woman.",13,,EC1006B,Crowds,9,1,44100,2,11.810068027210884
